alabarago,TR,"alabarago,877"
moshalasi 2,TR,"moshalasi 2,878"
okokomaiko,TR,"okokomaiko,879"
under bridge,TR,"under bridge,880"
agbara,TR,"agbara,881"
magbon,TR,"magbon,882"
pure water,TR,pure water,916
araromi,TR,"araromi,883"
mosafejo,TR,mosafejo,917
mammy market ibereko,TR,"mammy market ibereko,884"
badagry garage,TE,"badagry garage,885"
alaba suru,TE,"suru alaba,895"
mile 2,TR,mile 2,889
maza maza,TR,"maza maza,868"
mosalashi,TR,"mosalashi,869"
pako,TR,"pako,769"
second gate,TR,"second gate,870"
agboju,TR,"agboju,770"
oluti,TR,"oluti,771"
alakija,TR,"alakija,772"
dantata,TR,"dantata,871"
v-niger,TR,"v-niger,773"
abule-ado,TR,"abule-ado,774"
trade fair,TR,"trade fair,777"
abule-oshun,TR,"abule-oshun,778"
onireke,TR,"onireke,775"
barracks,TR,"barracks,776"
agric,TR,"agric,872"
ilaje,TR,"ilaje,873"
volks,TR,"volks,874"
iyana iba,TR,"iyanaoba,875"
ppl,TR,"ppl,876"
alabarago,TR,"alabarago,877"
moshalasi 2,TR,"moshalasi 2,878"
okokomaiko,TR,"okokomaiko,879"
under bridge,TR,"under bridge,880"
agbara,TR,"agbara,881"
magbon,TR,"magbon,882"
pure water,TR,pure water,916
araromi,TR,"araromi,883"
mosafejo,TR,mosafejo,917
mammy market ibereko,TR,"mammy market ibereko,884"
badagry garage,TR,"badagry garage,885"
seme,TE,seme,918
ojulegba bus stations,TE,ojuelegba bus station,664
empire,TR,"empire bus stop,886"
mosalashi,TR,"moshalasi,700"
idi-oro,TR,"idi-oro,696"
olosha,TR,"olosha,702"
mushin,TR,"mushin,701"
iyana isolo,TE,"iyana isolo,698"
ojuelegba bus station,TE,"ojuelegba bus station,664"
empire,TR,"empire bus stop,886"
mosalashi,TR,"moshalasi,700"
idi-oro,TR,"idi-oro,696"
olosha,TR,olosha,702
mushin,TE,"mushin,701"
mushin,TE,"mushin,701"
olosha,TR,olosha,702
idi-oro,TR,"idi-oro,696"
mosalashi,TR,"moshalasi,700"
empire,TR,"empire bus stop,886"
ojuelegba,TR,"ojuelegba bus station,664"
barracks,TR,"barracks,647"
stadium,TR,"stadium,671"
alaka,TR,"alaka,646"
iponri,TR,iponri,919
costain,TR,costain,901
brewery,TR,brewery,920
ijora/7up,TE,ijora/seven up,921
ijora/7up,TE,ijora/seven up,921
ijora,TR,ijora,922
idumota,TE,idumota,923
obalende,TE,"obalende,805"
forest street,TR,forest street,925
adekunle lawal road,TR,adekunle lawal road,926
oba adeyinka oyekan avenue,TR,oba adeyinka oyekan avenue,927
glover road,TR,glover road,928
barrow avenue,TR,barrow avenue,929
gerard avenue,TR,gerard avenue,930
parkview,TE,parkview,931
obalende,TE,"obalende,805"
osborne road,TR,osborne road,932
dolphin gate,TR,dolphin gate,933
underbridge,TR,underbridge,934
oba adeyinka oyekan avenue,TE,oba adeyinka oyekan avenue,927
obalende,TE,"obalende,805"
olowu,TR,"olosha,702"
iddo,TR,iddo,935
otto,TR,otto,936
onyingbo,TE,"onigbongbo,733"
onyingbo,TE,"onigbongbo,733"
otto,TR,otto,936
iddo,TR,iddo,935
ijora,TR,ijora,922
ijora/seven up,TR,ijora/seven up,921
pako*,TR,
ajegunle boundary,TR,ajegunle boundary,937
boundary,TE,boundary,938
boundary,TE,boundary,938
second nosamu,TR,second nosamu,939
ago hausa,TR,ago hausa,940
okoya,TR,okoya,941
aiyenero,TR,aiyenero,942
church,TR,"church,768"
aduke junction,TR,aduke junction,943
e.c.n junction,TR,e.c.n junction,944
alao,TR,alao,alao,945
ligali,TR,ligali,946
owoyemi,TR,owoyemi,947
barrack,TR,barrack,948
alaba suru,TE,suru alaba,895
ijesha,TE,ijesha,792
ijesha market,TR,ijesha market,949
itire road junction*,TR,"itire Rd Junction,655"
